# Bench 2500000 1096.42
# Bench 2200000 1243.18
# targetLowbound : 1093 ; targetHighbound : 1100
# targetQ1 : 1100 ; targetQ3 : 1100
# startLowbound : 1242 ; startHighbound : 1244
# Confidence intervals do not overlap, alternatives are statistically different with selected confidence level
time-long	abs. time	time-short
1028825	0	1014025
3367550	27481500	3362350
3342225	45006100	3336975
0	45006100	0
0	45006100	0
2857875	104983850	2852325
0	104983850	0
2469975	142498225	2465400
0	142498225	0
0	142498225	0
0	142498225	0
1773175	234988275	1768200
0	234988275	0
0	234988275	0
0	234988275	0
0	234988275	0
0	234988275	0
0	234988275	0
0	234988275	0
0	234988275	0
0	234988275	0
0	234988275	0
3242675	445008850	3238125
0	445008850	0
0	445008850	0
0	445008850	0
0	445008850	0
0	445008850	0
0	445008850	0
2653325	572488600	2649525
0	572488600	0
0	572488600	0
2449475	614991950	2446075
0	614991950	0
0	614991950	0
0	614991950	0
0	614991950	0
2213875	670018525	2208675
0	670018525	0
0	670018525	0
0	670018525	0
0	670018525	0
0	670018525	0
0	670018525	0
0	670018525	0
1687700	824991300	1684425
0	824991300	0
2551200	857489625	2547925
0	857489625	0
2534375	867505250	2530975
0	867505250	0
2402100	894990200	2398850
0	894990200	0
3016800	947512025	3013450
0	947512025	0
0	947512025	0
0	947512025	0
0	947512025	0
2525575	1030012875	2522275
2048550	1050000675	2045275
0	1050000675	0
0	1050000675	0
2817650	1119999275	2814375
1860400	1137491900	1857200
0	1137491900	0
0	1137491900	0
0	1137491900	0
1152525	1215003475	1149275
0	1215003475	0
0	1215003475	0
0	1215003475	0
2164375	1312509625	2161075
3129075	1325019325	3125800
0	1325019325	0
997425	1354997375	994150
1283775	1362501275	1280550
2806275	1382498650	2803000
0	1382498650	0
0	1382498650	0
0	1382498650	0
0	1382498650	0
0	1382498650	0
0	1382498650	0
1497475	1462501775	1494275
0	1462501775	0
0	1462501775	0
0	1462501775	0
2171075	1525007425	2167850
0	1525007425	0
0	1525007425	0
0	1525007425	0
0	1525007425	0
0	1525007425	0
0	1525007425	0
0	1525007425	0
0	1525007425	0
0	1525007425	0
0	1525007425	0
2527850	1685003175	2524175
1100625	1697505825	1097400
0	1697505825	0
0	1697505825	0
0	1697505825	0
0	1697505825	0
0	1697505825	0
3234525	1789999175	3231275
0	1789999175	0
2082750	1830024575	2079500
0	1830024575	0
0	1830024575	0
2610275	1865019475	2606550
0	1865019475	0
0	1865019475	0
1418225	1902509500	1415000
0	1902509500	0
0	1902509500	0
1179225	1975035050	1175875
0	1975035050	0
0	1975035050	0
0	1975035050	0
0	1975035050	0
0	1975035050	0
1558750	2072526400	1555525
0	2072526400	0
0	2072526400	0
0	2072526400	0
0	2072526400	0
1866300	2160000825	1863100
2391725	2172506200	2388475
0	2172506200	0
0	2172506200	0
2604675	2232506300	2601325
1912525	2250004050	1909300
0	2250004050	0
0	2250004050	0
2608975	2317502500	2605725
2601900	2322523000	2597850
2539675	2332508125	2536450
0	2332508125	0
1939650	2372515300	1936425
0	2372515300	0
1828350	2422508700	1825100
0	2422508700	0
0	2422508700	0
2827500	2477524950	2824225
0	2477524950	0
0	2477524950	0
0	2477524950	0
0	2477524950	0
0	2477524950	0
0	2477524950	0
2336025	2605020125	2332700
1889525	2610011125	1886600
0	2610011125	0
0	2610011125	0
0	2610011125	0
0	2610011125	0
0	2610011125	0
1249075	2730017375	1245700
1820900	2740034100	1817925
0	2740034100	0
3227250	2782515175	3223875
0	2782515175	0
0	2782515175	0
0	2782515175	0
0	2782515175	0
3071675	2880033900	3068300
3047725	2890007450	3044750
1642225	2917516700	1638575
0	2917516700	0
1402475	2937516750	1399250
0	2937516750	0
0	2937516750	0
2745875	3007509700	2742625
1077250	3035013450	1073875
1092975	3047526600	1089750
0	3047526600	0
0	3047526600	0
0	3047526600	0
0	3047526600	0
0	3047526600	0
3394750	3145027700	3391475
2862450	3165017775	2859200
1845775	3187515900	1842400
0	3187515900	0
0	3187515900	0
0	3187515900	0
0	3187515900	0
2618050	3247512800	2615100
0	3247512800	0
0	3247512800	0
0	3247512800	0
0	3247512800	0
2035825	3337515000	2032625
2747000	3355013575	2743775
0	3355013575	0
2652650	3395028900	2649475
1448650	3422542250	1444275
0	3422542250	0
0	3422542250	0
2877125	3475025400	2873925
0	3475025400	0
0	3475025400	0
1476350	3500019350	1473150
2000850	3522533775	1997600
1336275	3547519000	1333000
0	3547519000	0
0	3547519000	0
0	3547519000	0
0	3547519000	0
2832850	3620035075	2829575
989475	3632521650	986250
0	3632521650	0
0	3632521650	0
0	3632521650	0
0	3632521650	0
1426275	3705022925	1423050
0	3705022925	0
0	3705022925	0
0	3705022925	0
0	3705022925	0
0	3705022925	0
0	3705022925	0
2823375	3832526675	2820100
0	3832526675	0
1604800	3885020250	1601400
0	3885020250	0
0	3885020250	0
0	3885020250	0
1147500	3962544950	1144225
0	3962544950	0
0	3962544950	0
0	3962544950	0
0	3962544950	0
0	3962544950	0
0	3962544950	0
0	3962544950	0
0	3962544950	0
0	3962544950	0
1388600	4110025025	1385375
0	4110025025	0
0	4110025025	0
0	4110025025	0
0	4110025025	0
0	4110025025	0
0	4110025025	0
0	4110025025	0
0	4110025025	0
2937675	4292532950	2934350
2539975	4302520125	2536725
1131650	4330029150	1127875
0	4330029150	0
0	4330029150	0
0	4330029150	0
0	4330029150	0
1792050	4397526500	1788800
2646975	4410028900	2643750
0	4410028900	0
2481925	4452548500	2478675
2227475	4475031475	2224200
2229950	4502548725	2226700
0	4502548725	0
0	4502548725	0
