begin	end	'elab.conway.power'	'AMD RAPL PCKG'	'AMD RAPL SINGLE_CORE'	experiment	thread_count	frequency	cstate	
15426587015400	18946578432600	212.02	143.16	31.5613	2	128	2500000000	0	
22120017850800	28119820615200	214.336	145.341	34.0928	4	4	2500000000	0	
32119782512800	38119735481200	214.524	146.567	35.2867	5	4	2500000000	0	
42121494261600	48126688334400	232.219	159.839	35.4045	8	4	2500000000	0	
52127348034400	58123900321600	233.265	157.777	33.2618	14	4	2500000000	0	
62124515187400	68129514187600	233.419	157.589	33.0446	13	4	2500000000	0	
72128963621000	78122099171000	213.913	146.28	34.7754	3	4	2500000000	0	
82119953724000	88119956523000	213.889	147.052	35.5279	9	4	2500000000	0	
92120577135000	98122320042000	211.896	143.71	32.1163	11	4	2500000000	0	
102123603738200	108125584239800	222.931	155.116	42.3498	7	4	2500000000	0	
112124929301200	118120797293800	216.886	148.152	36.5745	4	8	2500000000	0	
122119464717000	128119418424000	219.11	150.961	39.402	5	8	2500000000	0	
132120549628200	138123659503800	236.992	162.973	36.7939	8	8	2500000000	0	
142125973480200	148129344073800	234.695	158.176	33.4753	14	8	2500000000	0	
152130574240800	158130243535200	234.835	157.677	32.9565	13	8	2500000000	0	
162128247630000	168121892910000	217.647	149.733	38.0655	3	8	2500000000	0	
172119836694800	178119889329200	217.744	151.218	39.5686	9	8	2500000000	0	
182120338691000	188121511592000	213.374	144.426	32.668	11	8	2500000000	0	
192121716903800	198121024818200	242.797	173.696	52.7458	7	8	2500000000	0	
202120507559800	208119448850200	220.236	150.831	39.1301	4	12	2500000000	0	
212119142763800	218119106274200	223.113	155.088	43.4424	5	12	2500000000	0	
222120009864200	228122457213800	249.656	172.68	40.9028	8	12	2500000000	0	
232124732748400	238128573622600	248.396	165.557	35.2442	14	12	2500000000	0	
242131198323200	248134526790800	248.388	164.782	34.4745	13	12	2500000000	0	
252132463927600	258122605050400	219.49	153.116	41.3887	3	12	2500000000	0	
262119398733000	268119507738000	219.746	155.368	43.6764	9	12	2500000000	0	
